Screening 194 tickers -- signal date 2026-01-01
Full 5-layer pipeline: Technical + ARIMA + Congress(Quiver) + News(NewsAPI) + Earnings
Thresholds: BUY>0.58  AVOID<0.42  (recalibrated)
EMA fix: oversold (RSI<35) bearish stocks score 0.35 not 0.0

   #  Ticker  Signal   Score      C     N     E     Entry      Exit    Return
--------------------------------------------------------------------------------
 113  PEP     WATCH    0.535  C:0.43 N:0.50 E:0.50  $ 140.97  $ 144.19    +2.28%
 114  PM      WATCH    0.507  C:0.46 N:0.50 E:0.50  $ 158.88  $ 177.38   +11.64%
 115  MO      WATCH    0.496  C:0.50 N:0.50 E:0.50  $  56.37  $  69.58   +23.44%
 116  CL      WATCH    0.495  C:0.50 N:0.50 E:0.50  $  76.74  $  90.13   +17.45%
 117  MDLZ    WATCH    0.545  C:0.70 N:0.50 E:0.50  $  53.19  $  61.17   +15.00%
 118  GIS     AVOID    0.406  C:0.30 N:0.50 E:0.50  $  44.34  $  33.81   -23.74%
 120  STZ     WATCH    0.474  C:0.30 N:0.50 E:0.50  $ 139.33  $ 138.82    -0.36%
 121  XOM     WATCH    0.541  C:0.50 N:0.50 E:0.50  $ 121.02  $ 145.26   +20.03%
 122  CVX     WATCH    0.438  C:0.30 N:0.50 E:0.50  $ 152.99  $ 182.46   +19.26%
 123  COP     WATCH    0.428  C:0.30 N:0.50 E:0.50  $  95.25  $ 113.98   +19.67%
 124  EOG     WATCH    0.498  C:0.50 N:0.50 E:0.50  $ 105.44  $ 133.38   +26.50%
 125  SLB     WATCH    0.501  C:0.50 N:0.50 E:0.50  $  39.96  $  54.55   +36.50%
 126  MPC     WATCH    0.469  C:0.30 N:0.50 E:0.50  $ 163.69  $ 248.77   +51.97%
 127  VLO     WATCH    0.505  C:0.50 N:0.50 E:0.50  $ 163.53  $ 244.82   +49.71%
 128  PSX     WATCH    0.504  C:0.50 N:0.50 E:0.50  $ 128.57  $ 175.88   +36.80%
 129  DVN     WATCH    0.541  C:0.70 N:0.50 E:0.50  $  37.67  $  44.49   +18.09%
 130  HAL     WATCH    0.496  C:0.50 N:0.50 E:0.50  $  29.46  $  38.85   +31.89%
 131  GE      WATCH    0.560  C:0.70 N:0.50 E:0.50  $ 320.28  $ 323.76    +1.09%
 132  HON     WATCH    0.544  C:0.57 N:0.50 E:0.50  $ 193.85  $ 237.86   +22.71%
 133  UPS     WATCH    0.471  C:0.50 N:0.50 E:0.50  $  97.98  $ 106.69    +8.89%
 134  FDX     WATCH    0.532  C:0.70 N:0.50 E:0.50  $ 291.95  $ 411.75   +41.04%
 135  CAT     WATCH    0.505  C:0.30 N:0.50 E:0.50  $ 595.88  $ 875.87   +46.99%
 136  DE      WATCH    0.453  C:0.50 N:0.50 E:0.50  $ 465.44  $ 542.18   +16.49%
 137  LMT     WATCH    0.549  C:0.50 N:0.50 E:0.50  $ 494.46  $ 530.45    +7.28%
 138  RTX     WATCH    0.519  C:0.50 N:0.50 E:0.50  $ 185.86  $ 179.66    -3.33%
 139  NOC     WATCH    0.495  C:0.50 N:0.50 E:0.50  $ 583.79  $ 563.68    -3.44%
 140  GD      WATCH    0.554  C:0.70 N:0.50 E:0.50  $ 340.42  $ 346.82    +1.88%
 141  BA      WATCH    0.553  C:0.70 N:0.50 E:0.50  $ 227.77  $ 231.15    +1.48%
 142  MMM     WATCH    0.468  C:0.30 N:0.50 E:0.50  $ 160.27  $ 153.13    -4.45%
 143  EMR     WATCH    0.533  C:0.57 N:0.50 E:0.50  $ 134.76  $ 143.82    +6.73%
 144  ETN     WATCH    0.527  C:0.30 N:0.50 E:0.50  $ 325.39  $ 400.60   +23.11%
 145  PH      WATCH    0.530  C:0.63 N:0.50 E:0.50  $ 890.30  $ 844.63    -5.13%
 146  ROK     BUY      0.598  C:0.70 N:0.50 E:0.50  $ 395.95  $ 451.06   +13.92%
 147  ITW     WATCH    0.528  C:0.70 N:0.50 E:0.50  $ 247.93  $ 247.28    -0.26%
 148  IR      WATCH    0.524  C:0.70 N:0.50 E:0.50  $  79.72  $  71.64   -10.14%
 149  AME     WATCH    0.552  C:0.50 N:0.50 E:0.50  $ 208.81  $ 225.85    +8.16%
 150  CARR    WATCH    0.555  C:0.70 N:0.50 E:0.50  $  53.10  $  63.87   +20.28%
 151  UBER    WATCH    0.522  C:0.57 N:0.50 E:0.50  $  82.86  $  70.40   -15.04%
 152  LYFT    WATCH    0.451  C:0.50 N:0.50 E:0.50  $  19.79  $  14.11   -28.70%
 153  DASH    WATCH    0.524  C:0.59 N:0.50 E:0.50  $ 219.79  $ 159.29   -27.53%
 154  ABNB    WATCH    0.475  C:0.43 N:0.50 E:0.50  $ 133.01  $ 133.31    +0.23%
 155  FCX     WATCH    0.517  C:0.50 N:0.50 E:0.50  $  51.69  $  65.71   +27.13%
 156  NEM     WATCH    0.458  C:0.30 N:0.50 E:0.50  $ 100.78  $ 109.81    +8.96%
 157  APD     WATCH    0.487  C:0.60 N:0.50 E:0.50  $ 248.91  $ 278.62   +11.94%
 158  LIN     WATCH    0.497  C:0.70 N:0.50 E:0.50  $ 427.67  $ 497.69   +16.37%
 159  SHW     WATCH    0.519  C:0.54 N:0.50 E:0.50  $ 326.27  $ 303.84    -6.87%
 160  ECL     WATCH    0.511  C:0.57 N:0.50 E:0.50  $ 261.94  $ 256.00    -2.27%
 161  DD      WATCH    0.556  C:0.70 N:0.50 E:0.50  $  40.55  $  48.42   +19.42%
 162  DOW     WATCH    0.540  C:0.70 N:0.50 E:0.50  $  23.74  $  33.75   +42.14%
 163  ALB     WATCH    0.492  C:0.50 N:0.50 E:0.50  $ 143.57  $ 176.42   +22.88%
 164  MP      WATCH    0.541  C:0.50 N:0.50 E:0.50  $  54.97  $  64.70   +17.70%
 165  AMT     WATCH    0.489  C:0.43 N:0.50 E:0.50  $ 173.07  $ 186.96    +8.03%
 166  PLD     WATCH    0.506  C:0.50 N:0.50 E:0.50  $ 128.02  $ 143.47   +12.07%
 167  EQIX    WATCH    0.452  C:0.50 N:0.50 E:0.50  $ 756.23  $1068.04   +41.23%
 168  SPG     BUY      0.595  C:0.70 N:0.50 E:0.50  $ 181.87  $ 204.91   +12.67%
 169  CBRE    WATCH    0.501  C:0.50 N:0.50 E:0.50  $ 160.19  $ 125.04   -21.94%
 170  WELL    WATCH    0.513  C:0.50 N:0.50 E:0.50  $ 185.65  $ 205.33   +10.60%
 171  O       WATCH    0.492  C:0.70 N:0.50 E:0.50  $  56.08  $  61.28    +9.27%
 172  DLR     WATCH    0.502  C:0.50 N:0.50 E:0.50  $ 153.98  $ 190.00   +23.39%
 173  PSA     AVOID    0.417  C:0.30 N:0.50 E:0.50  $ 255.84  $ 303.69   +18.71%
 174  AVB     WATCH    0.453  C:0.50 N:0.50 E:0.50  $ 178.49  $ 182.51    +2.25%
 175  NEE     WATCH    0.469  C:0.60 N:0.50 E:0.50  $  80.38  $  87.01    +8.25%
 176  DUK     WATCH    0.492  C:0.50 N:0.50 E:0.50  $ 115.45  $ 122.73    +6.31%
 177  SO      WATCH    0.458  C:0.50 N:0.50 E:0.50  $  85.79  $  92.05    +7.30%
 178  AEP     WATCH    0.503  C:0.50 N:0.50 E:0.50  $ 114.07  $ 126.67   +11.04%
 179  EXC     WATCH    0.505  C:0.50 N:0.50 E:0.50  $  43.55  $  45.64    +4.81%
 180  SRE     WATCH    0.502  C:0.50 N:0.50 E:0.50  $  89.09  $  89.13    +0.05%
 181  PCG     WATCH    0.478  C:0.50 N:0.50 E:0.50  $  16.22  $  16.34    +0.72%
 182  XEL     WATCH    0.545  C:0.70 N:0.50 E:0.50  $  74.13  $  79.50    +7.24%
 183  WEC     WATCH    0.494  C:0.50 N:0.50 E:0.50  $ 104.68  $ 111.05    +6.08%
 184  ES      WATCH    0.490  C:0.50 N:0.50 E:0.50  $  66.56  $  68.27    +2.57%
 185  T       WATCH    0.491  C:0.50 N:0.50 E:0.50  $  24.02  $  24.80    +3.23%
 186  VZ      WATCH    0.474  C:0.40 N:0.50 E:0.50  $  39.24  $  47.81   +21.84%
 187  TMUS    WATCH    0.422  C:0.30 N:0.50 E:0.50  $ 197.55  $ 187.53    -5.07%
 188  CHTR    WATCH    0.493  C:0.50 N:0.50 E:0.50  $ 209.28  $ 144.05   -31.17%
 189  CMCSA   WATCH    0.443  C:0.30 N:0.50 E:0.50  $  27.05  $  24.87    -8.06%
 190  DIS     WATCH    0.555  C:0.70 N:0.50 E:0.50  $ 111.85  $ 101.83    -8.96%
 191  NFLX    WATCH    0.548  C:0.70 N:0.50 E:0.50  $  90.99  $  86.02    -5.46%
 192  SPOT    WATCH    0.549  C:0.50 N:0.50 E:0.50  $ 575.00  $ 497.68   -13.45%
 193  SNAP    WATCH    0.480  C:0.50 N:0.50 E:0.50  $   8.13  $   5.71   -29.77%
 194  PINS    WATCH    0.566  C:0.50 N:0.50 E:0.50  $  26.56  $  20.05   -24.51%

====================================================================
  FORWARD TEST: 2026-01-01 (first bar = Jan 2) to 2026-05-29
====================================================================
  Tickers screened     : 192
  BUY labels (>0.58)   : 13
  WATCH labels         : 175
  AVOID labels (<0.42) : 4

  EMA fix active: oversold bearish stocks score 0.35 (not 0.0)
  Portfolio = top 100 ranked by composite score.

====================================================================
  PORTFOLIO (top 100 by score)         vs  AVOIDED (bottom 92)
====================================================================
  Capital invested  : $   100,000
  Total P&L         : $+12,377.20   |  avoided avg return: +11.66%
  Portfolio return  :     +12.38%
  S&P 500 return    :     +11.03%  (SPY 681.31 -> 756.48)
  Alpha vs S&P 500  :      +1.34%

  Win rate (port)   : 57.0%  (57/100)
  Win rate (avoided): 66.3%  (61/92)
  Best pick         : MU     +207.97%
  Worst pick        : EPAM   -48.89%
  Median return     : +3.28%
  Std dev           : 44.56%

--- Score quintile breakdown (signal quality test) ---
  Q1 (top): avg score=0.576  avg return=+11.93%  win rate=66%
  Q2     : avg score=0.539  avg return=+15.58%  win rate=61%
  Q3     : avg score=0.516  avg return= +9.64%  win rate=50%
  Q4     : avg score=0.495  avg return=+14.32%  win rate=71%
  Q5 (bot): avg score=0.460  avg return= +8.75%  win rate=58%

  Spearman rank corr (score vs return): +0.003
  (>0 = model ranks winners higher; closer to 1.0 = stronger signal)

--- Trade cards for BUY signals in portfolio (13 picks) ---
  TICKER     ENTRY      STOP    TARGET    R:R    ACTUAL
  PANW    $ 179.37  $ 177.12  $ 186.12    3.0x   +57.04%
  LRCX    $ 184.84  $ 158.48  $ 263.92    3.0x   +72.14%
  AMAT    $ 268.20  $ 241.92  $ 347.04    3.0x   +67.81%
  SMCI    $  30.96  $  26.66  $  43.86    3.0x   +48.87%
  LCID    $  11.15  $   9.40  $  16.40    3.0x   -41.26%
  SYK     $ 347.24  $ 341.32  $ 365.00    3.0x   -12.14%
  ROK     $ 395.95  $ 372.31  $ 466.87    3.0x   +13.92%
  CSCO    $  75.63  $  73.79  $  81.15    3.0x   +59.22%
  SPG     $ 181.87  $ 178.66  $ 191.50    3.0x   +12.67%
  MRVL    $  89.28  $  78.72  $ 120.96    3.0x  +129.61%
  CVS     $  78.78  $  75.54  $  88.50    3.0x   +15.48%
  AMZN    $ 226.50  $ 223.57  $ 235.29    3.0x   +19.49%
  ANET    $ 133.60  $ 122.40  $ 167.20    3.0x   +19.36%

====================================================================================================
    #  TICKER   SCORE     RSI     TREND      C    N    E     ENTRY      EXIT    RETURN  PICK
====================================================================================================
    1  PANW     0.632    34.6   bearish   0.70 0.60 0.50  $ 179.37  $ 281.69   +57.04%  BUY  W
    2  LRCX     0.628    52.8   bullish   0.50 1.00 0.50  $ 184.84  $ 318.18   +72.14%  BUY  W
    3  AMAT     0.620    32.5   bullish   0.70 0.75 0.50  $ 268.20  $ 450.06   +67.81%  BUY  W
    4  SMCI     0.616    21.5   bearish   0.50 0.60 0.50  $  30.96  $  46.09   +48.87%  BUY  W
    5  LCID     0.605    26.4   bearish   0.50 0.50 0.50  $  11.15  $   6.55   -41.26%  BUY  L
    6  SYK      0.600    46.2   bearish   0.70 0.83 0.50  $ 347.24  $ 305.09   -12.14%  BUY  L
    7  ROK      0.598    28.2   bullish   0.70 0.50 0.50  $ 395.95  $ 451.06   +13.92%  BUY  W
    8  CSCO     0.595    32.6   bullish   0.62 0.67 0.50  $  75.63  $ 120.42   +59.22%  BUY  W
    9  SPG      0.595    62.9   bullish   0.70 0.50 0.50  $ 181.87  $ 204.91   +12.67%  BUY  W
   10  MRVL     0.591    33.1   bullish   0.62 0.67 0.50  $  89.28  $ 205.00  +129.61%  BUY  W
   11  CVS      0.590    52.1   bullish   0.70 0.50 0.50  $  78.78  $  90.98   +15.48%  BUY  W
   12  AMZN     0.584    48.0   bullish   0.55 0.65 0.50  $ 226.50  $ 270.64   +19.49%  BUY  W
   13  ANET     0.581    48.0   bearish   0.57 1.00 0.50  $ 133.60  $ 159.47   +19.36%  BUY  W
   14  SCHW     0.579    67.0   bullish   0.43 1.00 0.50  $ 100.87  $  87.35   -13.40%  BUY  L
   15  NVDA     0.576    53.2   bullish   0.48 0.70 0.50  $ 188.84  $ 211.14   +11.81%  BUY  W
   16  UNH      0.576    51.9   bearish   0.59 0.88 0.50  $ 333.80  $ 380.31   +13.93%  BUY  W
   17  VRTX     0.576    59.3   bullish   0.50 1.00 0.50  $ 452.13  $ 447.54    -1.02%  BUY  L
   18  ZS       0.573    25.8   bearish   0.50 0.50 0.50  $ 220.57  $ 139.73   -36.65%  BUY  L
   19  TMO      0.571    55.1   bullish   0.46 0.70 0.50  $ 591.92  $ 492.51   -16.80%  BUY  L
   20  ORCL     0.568    33.4   bearish   0.48 0.60 0.50  $ 194.51  $ 225.78   +16.07%  BUY  W
   21  PFE      0.567    35.0   bullish   0.50 0.83 0.50  $  24.36  $  26.18    +7.46%  BUY  W
   22  PINS     0.566    26.4   bearish   0.50 0.50 0.50  $  26.56  $  20.05   -24.51%  BUY  L
   23  POOL     0.562    20.3   bearish   0.43 0.50 0.50  $ 226.66  $ 181.40   -19.97%  BUY  L
   24  GE       0.560    70.8   bullish   0.70 0.50 0.50  $ 320.28  $ 323.76    +1.09%  BUY  W
   25  C        0.559    65.2   bullish   0.70 0.50 0.50  $ 117.53  $ 125.90    +7.12%  BUY  W
   26  WYNN     0.558    39.8   bullish   0.50 0.50 0.50  $ 121.98  $ 101.22   -17.02%  BUY  L
   27  QCOM     0.557    22.8   bullish   0.38 0.67 0.50  $ 171.88  $ 251.02   +46.05%  BUY  W
   28  ARES     0.557    22.2   bullish   0.57 0.45 0.50  $ 164.10  $ 128.50   -21.69%  BUY  L
   29  MSFT     0.556    57.3   bearish   0.59 0.75 0.50  $ 470.84  $ 450.24    -4.38%  BUY  L
   30  DD       0.556    41.6   bullish   0.70 0.50 0.50  $  40.55  $  48.42   +19.42%  BUY  W
   31  DIS      0.555    71.0   bullish   0.70 0.50 0.50  $ 111.85  $ 101.83    -8.96%  BUY  L
